 ID-EVENTO,TITULO,PRECIO,GRATUITO,LARGA-DURACION,DIAS-SEMANA,DIAS-EXCLUIDOS,FECHA,FECHA-FIN,HORA,DESCRIPCION,CONTENT-URL,TITULO-ACTIVIDAD,URL-ACTIVIDAD,URL-INSTALACION,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,CLASE-VIAL-INSTALACION,NOMBRE-VIA-INSTALACION,NUM-INSTALACION,DISTRITO-INSTALACION,BARRIO-INSTALACION,CODIGO-POSTAL-INSTALACION,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TIPO,AUDIENCIA,
11107997,"Actividad infantil año nuevo chino 2020","","1","0","","","2020-02-05 00:00:00.0","2020-02-05 23:59:00.0","17:30","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=85578e8984eaf610VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d862492de8c8c510VgnVCM2000001f4a900aRCRD","Biblioteca Pública Municipal María Lejárraga (Hortaleza)","1,6","CALLE","PRINCESA DE EBOLI","29","HORTALEZA","VALDEFUENTES","28050","444461","4482397","40.49041562546542","-3.655356751728003","/contenido/actividades/CursosTalleres","/usuario/Niños",
11108687,"Ajedrez: estrategia y técnica","","1","1","M","","2020-02-04 00:00:00.0","2020-03-31 23:59:00.0","10:30","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=94918d24073bf610VgnVCM1000001d4a900aRCRD","Ajedrez: estrategia y técnica","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=71474a8f235e0610VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1f64c2c6e051c010VgnVCM2000000c205a0aRCRD","Biblioteca Pública Municipal Gloria Fuertes (Barajas)","1,6","AVENIDA","LOGROÑO","179","BARAJAS","CORRALEJOS","28042","449661","4479046","40.46055947228695","-3.5937461811785347","/contenido/actividades/CursosTalleres","",
11039023,"Amarse para amar","","1","0","","","2020-02-04 00:00:00.0","2020-02-04 23:59:00.0","19:00","Conocer y alcanzar las estrategias necesarias para amar, superar el rechazo, afrontar los miedos y superar la soledad.   Sala de actividades.   Entrada libre hasta completar aforo.","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=548bdaa043bad610VgnVCM1000001d4a900aRCRD","Aprendiendo a vivir. Buscando la plenitud.","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=47ef8759ffaad610VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=628e3d0b5e71c010VgnVCM1000000b205a0aRCRD","Biblioteca Pública Municipal Ana María Matute (Carabanchel)","1","CALLE","ISAAC ALBENIZ","1","CARABANCHEL","SAN ISIDRO","28019","438891","4472167","40.39786734087938","-3.720088245008897","/contenido/actividades/CursosTalleres","",
11078866,"Aprende a escuchar y disfrutar de la Música Culta","","1","1","X","","2020-01-15 00:00:00.0","2020-06-03 23:59:00.0","10:00","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e8b2a202ea6ce610VgnVCM1000001d4a900aRCRD","Aprende a escuchar y disfrutar de la Música Culta","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d860a202ea6ce610VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9e8f3d0b5e71c010VgnVCM1000000b205a0aRCRD","Biblioteca Pública Municipal Miguel Delibes (Moratalaz)","1,6","CALLE","ARROYO BELINCOSO","11","MORATALAZ","MEDIA LEGUA","28030","444597","4473439","40.40971737692924","-3.6529822109115133","/contenido/actividades/CursosTalleres","",
11103899,"Aprender a vivir","","1","0","","","2020-02-05 00:00:00.0","2020-02-05 23:59:00.0","19:00","En esta actividad, Alejandro Vaquerizo te dará 5 claves: La realidad no es lo que vemos: lo esencial es invisible a los ojos. No podemos parar la mente: dejar de pensar es pensar correctamente. La siembra es voluntaria pero la recogida es obligatoria: todo depende de ti. No hay que tratar de ser felices: la felicidad es nuestro estado natural. La Tierra es un colegio: venimos a aprender a disfrutar del placer de vivir.  Entrada libre hasta completar aforo.","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c56f39dabe9f610VgnVCM2000001f4a900aRCRD","Aprender a vivir","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=467323f64f68d610VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=338879262ef5d010VgnVCM1000000b205a0aRCRD","Biblioteca Pública Municipal José Hierro (San Blas-Canillejas)","1,6","CALLE","MARIA SEVILLA DIAGO","15","SAN BLAS-CANILLEJAS","ROSAS","28022","448214","4476029","40.433291625973624","-3.6105662311927453","/contenido/actividades/ConferenciasColoquios","",
11120913,"Aprender a vivir","","1","0","","","2020-02-06 00:00:00.0","2020-02-06 23:59:00.0","19:00","Aprender a vivir pretende enseñar que la felicidad es la capacidad interna para disfrutar de todo lo que hago, en todo momento, con independencia de lo que suceda fuera de mí.   Número máximo de participantes: 25 Sala de realización: polivalente  Hora de inicio: 19 horas. Hora de fin: 20 horas.   Inscripciones: en el mostrador de la biblioteca o por formulario electrónico   a partir del 30 de enero y hasta el 6 de febrero.","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d3b3b1546caff610VgnVCM2000001f4a900aRCRD","Aprender a vivir","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=467323f64f68d610VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1f64c2c6e051c010VgnVCM2000000c205a0aRCRD","Biblioteca Pública Municipal Gloria Fuertes (Barajas)","1,6","AVENIDA","LOGROÑO","179","BARAJAS","CORRALEJOS","28042","449661","4479046","40.46055947228695","-3.5937461811785347","/contenido/actividades/ConferenciasColoquios","",
11015060,"Bibliotubers","","0","1","V","","2019-10-04 00:00:00.0","2020-06-05 23:59:00.0","18:00","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=79c753d91102d610VgnVCM1000001d4a900aRCRD","Bibliotubers","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee7061eab46e5610VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=89a40a47f441f010VgnVCM2000000c205a0aRCRD","Biblioteca Pública Municipal Portazgo (Puente de Vallecas)","1,6","CALLE","CANTALAPIEDRA","11","PUENTE DE VALLECAS","NUMANCIA","28038","444376","4471605","40.393189968014696","-3.6554147649183943","/contenido/actividades/CursosTalleres","/usuario/Jovenes,/usuario/Niños",
11025684,"Biblio-ajedrez","","1","1","L","","2019-09-30 00:00:00.0","2020-06-29 23:59:00.0","18:00","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=80420d28e4e5d610VgnVCM2000001f4a900aRCRD","Biblio-ajedrez","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b0220d28e4e5d610VgnVCM2000001f4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD","Biblioteca Pública Municipal Ángel González (Latina)","1,6","CALLE","GRANJA DE TORREHERMOSA","1","LATINA","ALUCHE","28024","434954","4472113","40.397074625115906","-3.7664885474841556","/contenido/actividades/CursosTalleres","",
11084832,"Canta","","1","0","","","2020-02-21 00:00:00.0","2020-02-21 23:59:00.0","18:00","En un mundo como el nuestro, pero poblado por animales, Buster Moon es un optimista koala que regenta un teatro que conoció tiempos mejores. Buster ama su teatro con pasión y es capaz de cualquier cosa para salvarlo. Sabe que el sueño de su vida está a punto de desaparecer y solo tiene una oportunidad para mantenerlo a flote: organizar el concurso de canto más grande del mundo.   Su objetivo es atraer a multitud de animales que busquen convertirse en estrellas. Entre toda esa fauna de candidatos, todos ellos movidos por su pasión por la música, y después de pasar varias etapas, quedan cinco finalistas: el ratón Mike cuya voz es tan suave como la forma en que engaña a todos, Rosita una exhausta y sobrecargada madre de 25 cerditos, el joven gorila Johnny que pertenece a un clan de mafiosos y que intenta alejarse de su familia de criminales, la puercoespín punk-rock Ash que intenta deshacerse de su arrogante novio y cantar en solitario, y la tímida elefanta adolescente Meena que padece de un grave caso de miedo escénico. Los cinco llegan al teatro de Buster convencidos de que es su oportunidad para cambiar radicalmente de vida. ¿Lograrán triunfar y salvar el teatro de Buster?   A partir de 6 años.   Entrada libre hasta completar aforo.","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc4f9e38525fe610VgnVCM1000001d4a900aRCRD","Viernes de cine en la biblioteca","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=655723ab5315e510VgnVCM2000001f4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=338879262ef5d010VgnVCM1000000b205a0aRCRD","Biblioteca Pública Municipal José Hierro (San Blas-Canillejas)","1,6","CALLE","MARIA SEVILLA DIAGO","15","SAN BLAS-CANILLEJAS","ROSAS","28022","448214","4476029","40.433291625973624","-3.6105662311927453","/contenido/actividades/CineActividadesAudiovisuales","/usuario/Niños,/usuario/Familias",
11124439,"Charla sobre meditación en Pablo Neruda","","1","0","","","2020-02-18 00:00:00.0","2020-02-18 23:59:00.0","19:00","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d072589923b00710VgnVCM2000001f4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d5c548d20675e010VgnVCM1000000b205a0aRCRD","Biblioteca Pública Municipal Pablo Neruda (Ciudad Lineal)","1,6","CALLE","ASCAO","4","CIUDAD LINEAL","PUEBLO NUEVO","28017","445570","4475617","40.42941133441142","-3.6416899839787695","/contenido/actividades/ConferenciasColoquios","",
